,State Name,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017
0,Alabama,2,1318,1034,1309,1461,4833722,4849377,4858979,4863300,4874747
1,Arizona,5,556,480,554,587,6626624,6731484,6828065,6931071,7016270
2,California,39,3732,3234,3617,4588,38332521,38802500,39144818,39250017,39536653
3,Colorado,3,556,788,812,809,5268367,5355866,5456574,5540545,5607154
4,Connecticut,3,583,737,803,780,3596080,3596677,3590886,3576452,3588184
5,Delaware,3,493,366,328,389,925749,935614,945934,952065,961939
6,District of Columbia,6,838,538,497,1142,646449,658893,672228,681170,693972
7,Florida,13,3138,2702,4201,4156,19552860,19893297,20271272,20612439,20984400
8,Georgia,6,2032,2767,1708,1994,9992167,10097343,10214860,10310371,10429379
9,Illinois,18,3095,3456,5055,5089,12882135,12880580,12859995,12801539,12802023
10,Indiana,7,1203,1320,1511,1483,6570902,6596855,6619680,6633053,6666818
11,Kansas,4,381,461,572,578,2893957,2904021,2911641,2907289,2913123
12,Kentucky,3,977,914,1021,1030,4395295,4413457,4425092,4436974,4454189
13,Louisiana,9,1906,1692,2070,1987,4625470,4649676,4670724,4681666,4684333
14,Maryland,5,1266,1284,1293,1579,5928814,5976407,6006401,6016447,6052177
15,Michigan,14,1447,1268,1316,1360,9895622,9909877,9922576,9928300,9962311
16,Minnesota,2,450,410,468,759,5420380,5457173,5489594,5519952,5576606
17,Mississippi,2,784,661,852,1029,2991207,2994079,2992333,2988726,2984100
18,Missouri,10,1272,1702,1552,1730,6044171,6063589,6083672,6093000,6113532
19,Nebraska,1,347,374,381,439,1868516,1881503,1896190,1907116,1920076
20,Nevada,1,376,491,536,437,2790136,2839099,2890845,2940058,2998039
21,New Jersey,14,1521,1062,1224,1342,8899339,8938175,8958013,8944469,9005644
22,New Mexico,2,320,395,399,448,2085287,2085572,2085109,2081015,2088070
23,New York,16,1903,2903,2522,2031,19651127,19746227,19795791,19745289,19849399
24,North Carolina,12,2165,1856,2101,2141,9848060,9943964,10042802,10146788,10273419
25,Ohio,10,2368,2132,2442,2701,11570808,11594163,11613423,11614373,11658609
26,Oklahoma,6,642,840,898,866,3850568,3878051,3911338,3923561,3930864
27,Pennsylvania,20,2267,1789,2185,2172,12773801,12787209,12802503,12784227,12805537
28,Rhode Island,2,189,226,237,191,1051511,1055173,1056298,1056426,1059639
29,South Carolina,5,1660,1696,1490,1721,4774839,4832482,4896146,4961119,5024369
30,Tennessee,10,1590,1763,2014,1874,6495978,6549352,6600299,6651194,6715984
31,Texas,11,3133,3276,3606,2875,26448193,26956958,27469114,27862596,28304596
32,Utah,1,217,324,250,224,2900872,2942902,2995919,3051217,3101833
33,Virginia,6,1273,1326,1578,1473,8260405,8326289,8382993,8411808,8470020
34,Washington,4,656,925,768,881,6971406,7061530,7170351,7288000,7405743
35,West Virginia,2,362,342,399,390,1854304,1850326,1844128,1831102,1815857
36,Wisconsin,1,1065,1117,859,1369,5742713,5757564,5771337,5778708,5795483
37,Alaska,0,146,380,445,317,735132,736732,738432,741894,739795
38,Arkansas,0,572,538,720,820,2959373,2966369,2978204,2988248,3004279
39,Hawaii,0,48,75,79,68,1404054,1419561,1431603,1428557,1427538
40,Idaho,0,115,177,155,163,1612136,1634464,1654930,1683140,1716943
41,Iowa,0,569,587,659,586,3090416,3107126,3123899,3134693,3145711
42,Maine,0,183,231,232,203,1328302,1330089,1329328,1331479,1335907
43,Massachusetts,0,968,1338,1544,1761,6692824,6745408,6794422,6811779,6859819
44,Montana,0,128,140,162,167,1015165,1023579,1032949,1042520,1050493
45,New Hampshire,0,230,209,272,206,1323459,1326813,1330608,1334795,1342795
46,North Dakota,0,110,149,150,133,723393,739482,756927,757952,755393
47,Oregon,0,398,686,552,511,3930065,3970239,4028977,4093465,4142776
48,South Dakota,0,72,103,144,199,844877,853175,858469,865454,869666
49,Vermont,0,170,117,94,71,626630,626562,626042,624594,623657
50,Wyoming,0,64,198,127,91,582658,584153,586107,585501,579315
51,Puerto Rico ,0,0,0,0,0,3615086,3548397,3474182,3411307,3004279
,,278,51854,53579,58763,61401,225875,,,,
